OBL;BAZA;TIMESTAMP;ATTRIBUTE;Модель;Пакет;Свойство;Значение;ЦветМП
0;RM;2025-05-18 18:38:31.000;;WL Multifocal Office 400 1.60;Readers Smart UV Slim Skylight Digital;Покрытия KEFF WL;HMCSB.2;
0;RM;2025-05-18 18:38:31.000;;WL Multifocal Office 400 1.60;Readers Smart UV Slim Skylight Digital;Покрытия KEFF WL;HMCSB.2;
0;RM;2025-05-18 18:38:31.000;;WL Multifocal Office 400 1.60;Readers Smart UV Slim Skylight;Покрытия KEFF WL;HMCP;
0;RM;2025-05-18 18:38:31.000;;WL Multifocal Office 400 1.60;Readers Smart UV Slim ISee;Покрытия KEFF WL;HMC;
0;RM;2025-05-18 18:38:31.000;;WL Multifocal Office 400 1.60;Readers Smart UV Slim Skylight Digital;Покрытия KEFF WL;HMCSB.2;
0;RM;2025-05-18 18:38:31.000;;WL Multifocal Office 400 1.60;Readers Smart UV Slim Skylight;Покрытия KEFF WL;HMCP;
0;RM;2025-05-18 18:38:31.000;;WL Multifocal Office 400 1.60;Readers Smart UV Slim ISee;Покрытия KEFF WL;HMC;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Elite 11 1.50 Photo;PerfectVision Prime Sunactive UV Basic Skylight Max;Цвет ОЛ;WL_Brown_HPL_STB;Коричневый
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Elite 11 1.50 Photo;PerfectVision Prime Sunactive UV Basic Skylight Max;Цвет ОЛ;WL_Grey_HPL_STG;Серый
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Elite 11 1.50 Photo;PerfectVision Prime Sunactive UV Basic Skylight Max;Покрытия KEFF WL;HMCSU;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Elite 11 1.50;PerfectVision Prime UV Basic Skylight Max;Покрытия KEFF WL;HMCSU;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Elite 11 1.50;PerfectVision Prime GradDark UV Basic Skylight Max;Покрытия KEFF WL;HMCP;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Elite 11 1.50;PerfectVision Prime Dark UV Basic Skylight Max;Покрытия KEFF WL;HMCSU;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Elite 11 1.50;PerfectVision Prime UV Basic Skylight Max Digital;Покрытия KEFF WL;HMCSB;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Elite 11 1.60 Photo;PerfectVision Prime Sunactive UV Slim Skylight Max;Цвет ОЛ;WL_Brown_HPL_STB;Коричневый
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Elite 11 1.60 Photo;PerfectVision Prime Sunactive UV Slim Skylight Max;Цвет ОЛ;WL_Grey_HPL_STG;Серый
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Elite 11 1.60 Photo;PerfectVision Prime Sunactive UV Slim Skylight Max;Покрытия KEFF WL;HMCSU;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Elite 11 1.60;PerfectVision Prime UV Slim Skylight Max;Покрытия KEFF WL;HMCSU;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Elite 11 1.60;PerfectVision Prime GradDark UV Slim Skylight Max;Покрытия KEFF WL;HMCP;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Elite 11 1.60;PerfectVision Prime Dark UV Slim Skylight Max;Покрытия KEFF WL;HMCSU;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Elite 11 1.67;PerfectVision Prime UV UltraSlim Skylight Max;Покрытия KEFF WL;HMCSU;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Elite 11 1.67;PerfectVision Prime GradDark UV UltraSlim Skylight Max;Покрытия KEFF WL;HMCSU;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Elite 11 1.67;PerfectVision Prime Dark UV UltraSlim Skylight Max;Покрытия KEFF WL;HMCSU;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Elite 11 1.67;PerfectVision Prime UV UltraSlim Skylight Max Digital;Покрытия KEFF WL;HMCSB;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Exclusive 11 1.50 Photo;PerfectVision Prime Sunactive UV Basic Skylight Max;Цвет ОЛ;WL_Brown_HPL_STB;Коричневый
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Exclusive 11 1.50 Photo;PerfectVision Prime Sunactive UV Basic Skylight Max;Цвет ОЛ;WL_Grey_HPL_STG;Серый
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Exclusive 11 1.50 Photo;PerfectVision Prime Sunactive UV Basic Skylight Max;Покрытия KEFF WL;HMCSU;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Exclusive 11 1.50;PerfectVision Prime UV Basic Skylight Max;Покрытия KEFF WL;HMCSU;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Exclusive 11 1.50;PerfectVision Prime GradDark UV Basic Skylight Max;Покрытия KEFF WL;HMCP;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Exclusive 11 1.50;PerfectVision Prime Dark UV Basic Skylight Max;Покрытия KEFF WL;HMCSU;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Exclusive 11 1.50;PerfectVision Prime UV Basic Skylight Max Digital;Покрытия KEFF WL;HMCSB;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Exclusive 11 1.60 Photo;PerfectVision Prime Sunactive UV Slim Skylight Max;Цвет ОЛ;WL_Brown_HPL_STB;Коричневый
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Exclusive 11 1.60 Photo;PerfectVision Prime Sunactive UV Slim Skylight Max;Цвет ОЛ;WL_Grey_HPL_STG;Серый
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Exclusive 11 1.60 Photo;PerfectVision Prime Sunactive UV Slim Skylight Max;Покрытия KEFF WL;HMCSU;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Exclusive 11 1.60;PerfectVision Prime UV Slim Skylight Max;Покрытия KEFF WL;HMCSU;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Exclusive 11 1.60;PerfectVision Prime GradDark UV Slim Skylight Max;Покрытия KEFF WL;HMCP;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Exclusive 11 1.60;PerfectVision Prime Dark UV Slim Skylight Max;Покрытия KEFF WL;HMCSU;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Exclusive 11 1.67;PerfectVision Prime UV UltraSlim Skylight Max;Покрытия KEFF WL;HMCSU;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Exclusive 11 1.67;PerfectVision Prime GradDark UV UltraSlim Skylight Max;Покрытия KEFF WL;HMCSU;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Exclusive 11 1.67;PerfectVision Prime Dark UV UltraSlim Skylight Max;Покрытия KEFF WL;HMCSU;
0;RM;2025-05-18 18:38:31.000;;WLProgPremInd-Exclusive 11 1.67;PerfectVision Prime UV UltraSlim Skylight Max Digital;Покрытия KEFF WL;HMCSB;
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.50 Photo;PerfectVision Smart Sunactive UV Basic ISee;Цвет ОЛ;WL_Brown_HPL_STB;Коричневый
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.50 Photo;PerfectVision Smart Sunactive UV Basic ISee;Цвет ОЛ;WL_Grey_HPL_STG;Серый
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.50 Photo;PerfectVision Smart Sunactive UV Basic ISee;Покрытия KEFF WL;HMC;
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.50 Photo;PerfectVision Smart Sunactive UV Basic Skylight;Цвет ОЛ;WL_Brown_HPL_STB;Коричневый
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.50 Photo;PerfectVision Smart Sunactive UV Basic Skylight;Цвет ОЛ;WL_Grey_HPL_STG;Серый
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.50 Photo;PerfectVision Smart Sunactive UV Basic Skylight;Покрытия KEFF WL;HMCP;
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.50;PerfectVision Smart UV Basic Skylight;Покрытия KEFF WL;HMCP;
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.50;PerfectVision Smart UV Basic ISee;Покрытия KEFF WL;HMC;
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.50;PerfectVision Smart UV GradDark Basic Skylight;Покрытия KEFF WL;HMCP;
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.50;PerfectVision Smart UV GradDark Basic ISee;Покрытия KEFF WL;HMC;
